PMAID,LocID,Name,Address,ZIP Code,X Coord,Y Coord,Location 1
3921,1326,Fauntleroy Place,4501 Fauntleroy Way SW,98126,-122.379834,47.562715,"(47.562715, -122.379834)"
413,2498,Ferdinand Street Boat Ramp,5018 Lake Washington Blvd S,98118,-122.264912,47.561358,"(47.561358, -122.264912)"
351,1331,Firehouse Mini Park,712 18th Ave,98122,-122.308558,47.608448,"(47.608448, -122.308558)"
3910,1332,First Hill Park,1201 University St,98101,-122.325512,47.611906,"(47.611906, -122.325512)"
3948,1333,Fletcher Place,9285 Waters Ave S,98118,-122.261484,47.519093,"(47.519093, -122.261484)"
363,1334,Flo Ware Park,2800 S Jackson St,98144,-122.295868,47.599557,"(47.599557, -122.295868)"
312,2390,Freeway Park - Jim Ellis Freeway Park,700 Seneca St,98101,-122.330904,47.609472,"(47.609472, -122.330904)"
4011,1341,Fremont Canal Park,199 N Canal St,98103,-122.357864,47.651802,"(47.651802, -122.357864)"
4424,1343,Fremont Peak Park,4357 Palatine Ave N,98103,-122.356671,47.661108,"(47.661108, -122.356671)"
392,1345,Frink Park,398 Lake Washington Blvd S,98144,-122.290256,47.599506,"(47.599506, -122.290256)"
287,1128,Froula Playground,7200 12th Ave NE,98115,-122.313978,47.680538,"(47.680538, -122.313978)"
353,1130,Garfield Playfield,537 25th Ave,98122,-122.301412,47.607098,"(47.607098, -122.301412)"
293,1349,Gas Works Park,2101 N Northlake Way,98103,-122.334906,47.645639,"(47.645639, -122.334906)"
409,1786,Genesee Park and Playfield,4316 S Genesee St,98118,-122.278744,47.564856,"(47.564856, -122.278744)"
410,2094,Georgetown Playfield,750 S Homer St,98108,-122.321396,47.55162,"(47.55162, -122.321396)"
3759,1359,Gerber Park,575 M L King Jr Way S,98122,-122.296568,47.607709,"(47.607709, -122.296568)"
242,1134,Gilman Playground,923 NW 54th St,98107,-122.369684,47.667292,"(47.667292, -122.369684)"
243,1361,Golden Gardens Park,8498 Seaview Pl NW,98117,-122.403454,47.686852,"(47.686852, -122.403454)"
354,1346,Grand Army of the Republic Cemetery,1200 E Howe St,98102,-122.316261,47.636461,"(47.636461, -122.316261)"
307,1366,Green Lake Park,7201 E Greenlake Dr N,98115,-122.330394,47.678938,"(47.678938, -122.330394)"
4408,1369,Greenwood Park,602 N 87th St,98117,-122.350647,47.693048,"(47.693048, -122.350647)"
245,1371,Greenwood Triangle,304 NW 55th St,98107,-122.361032,47.668902,"(47.668902, -122.361032)"
4157,1372,Greg Davis Park,2600 SW Brandon St,98106,-122.366001,47.55437,"(47.55437, -122.366001)"
454,1375,Hamilton Viewpoint Park,1120 California Ave SW,98116,-122.38907,47.590748,"(47.590748, -122.38907)"
355,0,Harborview Park,779 Alder St,98104,-122.323693,47.603014,"(47.603014, -122.323693)"
356,1377,Harrison Ridge Greenbelt,138 32nd Ave E,98112,-122.290339,47.619711,"(47.619711, -122.290339)"
3695,1378,Harvard-Miller/Roanoke Annex,2351 Broadway E,98102,-122.321643,47.641091,"(47.641091, -122.321643)"
4412,1381,Herring's House Park (T'ul'altx),4570 West Marginal Way SW,98106,-122.349545,47.561514,"(47.561514, -122.349545)"
456,1788,Hiawatha Playfield,2700 California Ave SW,98116,-122.384965,47.578272,"(47.578272, -122.384965)"
3983,1383,Highland Drive Parkway,165 Highland Dr,98109,-122.353337,47.629736,"(47.629736, -122.353337)"
457,1137,Highland Park Playground,1100 SW Cloverdale St,98106,-122.349034,47.52738,"(47.52738, -122.349034)"
3979,1384,Highland Place,93 Highland Dr,98109,-122.355466,47.629656,"(47.629656, -122.355466)"
358,1093,Hing Hay Park,423 Maynard Ave S,98104,-122.325435,47.598609,"(47.598609, -122.325435)"
4413,1389,Hitt's Hill Park,5234 37th Ave S,98118,-122.28455,47.554207,"(47.554207, -122.28455)"
4426,1392,Homer Harris Park,2401 E Howell St,98122,-122.300994,47.617309,"(47.617309, -122.300994)"
43,1394,Horiuchi Park,156 Boren Ave,98122,-122.318982,47.603132,"(47.603132, -122.318982)"
3927,1396,Horton Hill Corridor,3298 36th Ave S,98144,-122.287187,47.573846,"(47.573846, -122.287187)"
359,1397,Howell Park,1740 Howell Pl,98122,-122.280313,47.617518,"(47.617518, -122.280313)"
4456,1398,Hubbard Homestead,11203 5th Ave NE,98125,-122.324674,47.709964,"(47.709964, -122.324674)"
4032,2391,Hunter Boulevard,3299 Hunter Blvd S,98144,-122.285153,47.573877,"(47.573877, -122.285153)"
439,1089,Hutchinson Playground,59th Ave S & S Norfolk St,98118,-122.260062,47.514312,"(47.514312, -122.260062)"
3905,1399,Hyde Place,3811 E Madison St,98112,-122.282887,47.632304,"(47.632304, -122.282887)"
4446,1400,I-5 Colonnade,1701 Lakeview Blvd E,98102,-122.323409,47.634898,"(47.634898, -122.323409)"
3887,1821,Interbay Athletic Complex,3027 17th Ave W,98119,-122.379191,47.647239,"(47.647239, -122.379191)"
313,1407,Interbay Golf,2501 15th Ave W,98119,-122.378455,47.643753,"(47.643753, -122.378455)"
3023,1412,Interlaken Park,2451 Delmar Dr E,98102,-122.308316,47.636257,"(47.636257, -122.308316)"
364,1413,International Children's Park,700 S Lane St,98104,-122.323412,47.596897,"(47.596897, -122.323412)"
4001,1095,Inverness Ravine Park,8619 45th Ave NE,98115,-122.280809,47.691145,"(47.691145, -122.280809)"
327,1790,Jackson Park Golf Course,1100 NE 135th St,98125,-122.319103,47.729254,"(47.729254, -122.319103)"
1000393,0,Japanese Garden,1075 Lake Washington Blvd E,98112,-122.2952,47.627312,"(47.627312, -122.2952)"
114,1434,Jefferson Park,3801 Beacon Ave S,98108,-122.311441,47.568067,"(47.568067, -122.311441)"
4153,1791,Jefferson Park Golf Course,4101 Beacon Ave S,98108,-122.305242,47.567202,"(47.567202, -122.305242)"
3121,1437,Jimi Hendrix Park,2400 S Massachusetts St,98144,-122.300842,47.588907,"(47.588907, -122.300842)"
429,2560,"John C. Little, Sr. Park",6961 37th Ave S,98118,-122.286686,47.539048,"(47.539048, -122.286686)"
4244,2491,Judge Charles M. Stokes Overlook,20th Ave S & S Judkins St,98144,-122.306962,47.591632,"(47.591632, -122.306962)"
397,1097,Judkins Park and Playfield,2150 S Norman St,98144,-122.303951,47.592425,"(47.592425, -122.303951)"
4455,1439,Junction Plaza,42nd Ave SW & SW Alaska St,98116,-122.385491,47.561204,"(47.561204, -122.385491)"
3122,1098,Katie Black's Garden,1150 S Atlantic St,98144,-122.317642,47.590421,"(47.590421, -122.317642)"
342,2374,Kerry Park,211 W Highland Dr,98119,-122.359874,47.629023,"(47.629023, -122.359874)"
3880,1440,Keystone Place,5664 Keystone Pl N,98103,-122.333769,47.670304,"(47.670304, -122.333769)"
459,1441,Kilbourne Park,9131 California Ave SW,98136,-122.388277,47.52133,"(47.52133, -122.388277)"
4480,1099,Kingfisher Natural Area on Thornton Creek,15th Ave NE & NE 105th St,98125,-122.312411,47.704889,"(47.704889, -122.312411)"
314,1442,Kinnear Park,899 W Olympic Pl,98119,-122.367207,47.627317,"(47.627317, -122.367207)"
4468,1444,Kirke Park,7028 9th Ave NW,98117,-122.368021,47.680338,"(47.680338, -122.368021)"
246,1100,Kiwanis Memorial Preserve Park,4441 Brygger Dr W,98199,-122.401004,47.66197,"(47.66197, -122.401004)"
4429,1448,Kiwanis Memorial Preserve Park,4531 33rd Ave W,98199,-122.403237,47.660251,"(47.660251, -122.403237)"
3915,1449,Kobe Terrace,650 Main St,98104,-122.324494,47.60042,"(47.60042, -122.324494)"
415,1450,Kubota Garden,9817 55th Ave S,98118,-122.266125,47.513543,"(47.513543, -122.266125)"
333,1457,Lake City Memorial Triangle,12356 Lake City Way NE,98125,-122.295266,47.718819,"(47.718819, -122.295266)"
487,1458,Lake City Mini Park,12359 Lake City Way NE,98125,-122.295875,47.71911,"(47.71911, -122.295875)"
4439,1459,Lake People Park (Xacua'bs),3100 S Bradford st,98108,-122.292012,47.569133,"(47.569133, -122.292012)"
344,1460,Lake Union Park,860 Terry Ave N,98109,-122.338848,47.627015,"(47.627015, -122.338848)"
411,1462,Lakeridge Park,10201 Holyoke Way S,98178,-122.247429,47.506033,"(47.506033, -122.247429)"
3972,1140,Lakeridge Playfield,10145 Rainier Ave S,98178,-122.246841,47.510319,"(47.510319, -122.246841)"
365,1463,Lakeview Park,340 37th Ave E,98112,-122.284732,47.62205,"(47.62205, -122.284732)"
366,1464,Lakeview Place,1042 Lakeview Blvd E,98102,-122.325705,47.62939,"(47.62939, -122.325705)"
4040,1465,Lakewood Moorage,4400 Lake Washington Blvd S,98118,-122.268295,47.562981,"(47.562981, -122.268295)"
414,2167,Lakewood Playfield,5013 S Angeline St,98118,-122.27006,47.558831,"(47.558831, -122.27006)"
4024,1466,Lakewood Triangle,3114 Cascadia Ave S,98144,-122.28372,47.576058,"(47.576058, -122.28372)"
3096,0,Lambert Place,3800 E Madison St,98112,-122.283837,47.632017,"(47.632017, -122.283837)"
3929,1468,Landing Parkway,4099 S Horton St,98144,-122.283396,47.573861,"(47.573861, -122.283396)"
340,1142,Laurelhurst Playfield,4544 NE 41st St,98105,-122.278019,47.65989,"(47.65989, -122.278019)"
4162,1053,Laurelhurst Triangle,3325 East Laurelhurst Dr NE,98105,-122.277487,47.652696,"(47.652696, -122.277487)"
4482,1102,LaVilla Meadows Natural Area on Thornton Creek,Ravenna Ave NE & NE 100th St,98115,-122.299926,47.701262,"(47.701262, -122.299926)"
316,1054,Lawton Park,4005 27th Ave W,98199,-122.391158,47.655065,"(47.655065, -122.391158)"
367,1057,Leschi Park,201 Lakeside Ave. S,98122,-122.286548,47.600931,"(47.600931, -122.286548)"
263,1808,Leschi-Lake Dell Natural Area,3525 E Terrace St,98122,-122.287835,47.604695,"(47.604695, -122.287835)"
4076,1058,Lewis Park,1120 15th Ave S,98144,-122.314435,47.592857,"(47.592857, -122.314435)"
4479,1103,Licorice Fern Natural Area on Thornton Creek,12th Ave NE & NE 130th St,98115,-122.315433,47.723106,"(47.723106, -122.315433)"
286,1059,Licton Springs Park,9536 Ashworth Ave N,98103,-122.338735,47.698542,"(47.698542, -122.338735)"
460,1060,Lincoln Park,8011 Fauntleroy Way SW,98136,-122.396012,47.531176,"(47.531176, -122.396012)"
4419,1061,Linden Orchard Park,Linden Ave N & N 67th St,98103,-122.347727,47.678016,"(47.678016, -122.347727)"
297,1064,Little Brook Park,14043 32nd Ave NE,98125,-122.294567,47.731387,"(47.731387, -122.294567)"
301,1809,Llandover Woods Greenspace,14499 3rd Ave NW,98177,-122.364545,47.733024,"(47.733024, -122.364545)"
264,2437,Longfellow Creek Greenspace,Delridge Way SW & SW Graham St,98106,-122.363435,47.530167,"(47.530167, -122.363435)"
362,1066,Louisa Boren Park,1606 15th Ave E,98112,-122.311628,47.635274,"(47.635274, -122.311628)"
461,1067,Lowman Beach Park,7017 Beach Dr SW,98136,-122.396728,47.540367,"(47.540367, -122.396728)"
289,1146,Loyal Heights Playfield,2101 NW 77th St,98117,-122.38324,47.684106,"(47.684106, -122.38324)"
4075,2494,Lynn Street Mini Park,2291 Fairview Ave E,98102,-122.32975,47.639849,"(47.639849, -122.32975)"
4422,1069,MacLean Park,1922 Taylor Ave N,98109,-122.345276,47.636191,"(47.636191, -122.345276)"
369,1071,Madison Park,4201 E Madison St,98112,-122.276602,47.635779,"(47.635779, -122.276602)"
4441,2509,Madison Park North Beach,2300 43rd Ave E,98112,-122.276118,47.639084,"(47.639084, -122.276118)"
4005,1471,Madrona Briar Patch,1605 Madrona Dr,98122,-122.284261,47.615231,"(47.615231, -122.284261)"
370,1473,Madrona Park,853 Lake Washington Blvd,98122,-122.282679,47.609299,"(47.609299, -122.282679)"
371,1147,Madrona Playground,3211 E Spring St,98122,-122.289885,47.611022,"(47.611022, -122.289885)"
2856,1474,Madrona Ravine,3799 E Spring St,98122,-122.285412,47.611456,"(47.611456, -122.285412)"
492,1476,Magnolia Greenbelt,W Howe St & Dartmouth Ave W,98199,-122.389073,47.636006,"(47.636006, -122.389073)"
747,1477,Magnolia Manor Park,3500 28th Ave W,98119,-122.390877,47.651085,"(47.651085, -122.390877)"
317,1478,Magnolia Park,1461 Magnolia Blvd W,98199,-122.398993,47.632366,"(47.632366, -122.398993)"
319,2564,Magnolia Playfield,2518 34th Ave W,98199,-122.399472,47.643746,"(47.643746, -122.399472)"
2970,0,Magnolia Tidelands Park,W Ruffner to Elliott Bay Marina,98144,-122.391648,47.630922,"(47.630922, -122.391648)"
111110,0,Magnuson Park,7400 Sand Point Way NE,98115,-122.255084,47.680304,"(47.680304, -122.255084)"
4434,1522,Maple Leaf Community Garden,529 NE 103rd St,98125,-122.322269,47.70326,"(47.70326, -122.322269)"
3881,1105,Maple Leaf Resevoir Park,1020 NE 82nd St,98115,-122.315613,47.689015,"(47.689015, -122.315613)"
1630,1523,Maple School Ravine,1950 S Graham St,98108,-122.308342,47.551071,"(47.551071, -122.308342)"
418,1106,Maple Wood Playfield,4801 Corson Ave S,98108,-122.318845,47.560041,"(47.560041, -122.318845)"
4447,1524,Marra-Desimone Park,9026 4th Ave S,98108,-122.329372,47.522124,"(47.522124, -122.329372)"
320,1525,Marshall Park,1191 7th Ave W,98119,-122.366805,47.629436,"(47.629436, -122.366805)"
432,1527,Martha Washington Park,6612 57th Ave S,98115,-122.260054,47.542398,"(47.542398, -122.260054)"
3923,2615,"Martin Luther King, Jr. Memorial",2200 Martin Luther King Jr  Way S,98144,-122.297165,47.582756,"(47.582756, -122.297165)"
298,1880,Marvin's Garden,5400 Ballard Ave NW,98107,-122.384972,47.667976,"(47.667976, -122.384972)"
347,1529,Matthews Beach Park,5100 NE 93rd St,98115,-122.271785,47.694564,"(47.694564, -122.271785)"
321,1530,Mayfair Park,2600 2nd Ave N,98109,-122.353356,47.643241,"(47.643241, -122.353356)"
3918,0,McClellan Place,S McClellan St & Beacon Ave S,98144,-122.311648,47.578695,"(47.578695, -122.311648)"
4013,2395,McGilvra Boulevard,1099 McGilvra Blvd E,98112,-122.282116,47.626925,"(47.626925, -122.282116)"
4008,1535,McGilvra Place,1425 E Madison St,98122,-122.313032,47.614233,"(47.614233, -122.313032)"
339,1536,McGraw Square,Westlake Ave N & Stewart St,98101,-122.337587,47.61299,"(47.61299, -122.337587)"
